first_purchase_month,purchase_month,user_id
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,18
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,134081
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,512017
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,582417
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,261364
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,265917
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,549494
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,600690
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,610532
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,619240
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,52254
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,276326
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,563038
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,563038
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,563038
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,636151
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,570856
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,19732
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,571873
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,411810
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,299788
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,579378
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,411810
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,178802
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,504487
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,504197
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,502997
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,483783
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,415732
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,483783
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,81990
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,174110
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,420521
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,637199
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,483783
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,483783
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,18
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,427246
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,432634
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,449093
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,581516
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,53161
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,473175
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,247529
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,403165
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,106958
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,128389
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252875
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
2020-02-01T00:00:00Z,2020-02-01T00:00:00Z,252895
