first_purchase_month,purchase_month,user_id
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,713383
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,781234
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,624965
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,714860
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,190036
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,190036
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,624965
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,714860
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,192705
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,193900
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,193900
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,193900
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,714860
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,194516
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,194750
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,778122
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,952084
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,761715
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,111997
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,198214
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,46634
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,703228
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,751135
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,199291
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,199291
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,199291
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,200303
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,200303
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,132240
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,200303
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,200303
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,132240
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,750206
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,62915
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,202523
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,202523
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,702745
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,750206
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,750206
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,205629
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,647638
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,206900
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,743010
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,958424
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,707079
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,132240
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,46634
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,738057
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,109000
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,108227
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,103734
2020-04-01T00:00:00Z,2020-04-01T00:00:00Z,103734
